Latitude,Longitude
42.4833333,1.4666667
42.4666667,1.5
42.4666667,1.4833333
42.5,1.5166667
42.5666667,1.5166667
42.5333333,1.5333333
42.5833333,1.5166667
42.5666667,1.4833333
42.45,1.5
42.5666667,1.6
42.5333333,1.5666667
42.55,1.5166667
42.5333333,1.5833333
42.6166667,1.55
42.5833333,1.6333333
42.5833333,1.65
42.55,1.5833333
42.5166667,1.55
42.5666667,1.5
42.5,1.5333333
42.45,1.4666667
42.4333333,1.5
42.55,1.5333333
42.6,1.5333333
42.4666667,1.5166667
42.4333333,1.45
42.55,1.6
42.55,1.4833333
42.55,1.7333333
42.5666667,1.6166667
42.5,1.5
42.5333333,1.5166667
42.5833333,1.6666667
42.5666667,1.5333333
24.466667,54.366667
25.285475,55.329611
25.783333,55.933333
25.498669,56.358302
25.288123,55.881571
25.460122,56.012562
25.041055,56.314853
24.212717,55.783488
24.959508,56.315852
25.398308,56.150726
25.600312,56.269097
25.453529,56.18991
24.191667,55.760556
25.406942,55.444126
25.432273,56.345736
25.189507,56.235157
25.932264,56.405128
25.907278,56.393
26.021389,56.091389
24.298014,53.211395
25.116412,56.341408
25.599658,56.342487
25.401739,56.068063
25.996111,56.084167
25.143423,56.248397
24.798996,56.115379
25.38148,55.419551
25.477378,56.182437
22.95805,54.297206
25.709102,55.807724
25.478194,55.533768
25.978611,56.085278
25.092227,56.24418
25.704979,55.987009
25.350928,56.025345
25.353969,55.37189
24.24914,55.745824
25.381235,56.173576
25.716175,55.967757
25.617288,56.011128
25.995584,56.380513
25.675,55.990278
23.102651,53.581849
23.138476,53.742603
24.099107,53.490769
24.218997,55.739888
24.201667,55.716389
23.081096,54.036351
24.865864,56.260851
24.616667,51.4
24.259929,55.755658
24.912136,56.095661
25.601056,56.322797
24.15,55.766667
25.229014,55.272329
24.221944,55.603056
25.35731,55.403304
24.053988,53.763468
24.25958,54.707814
22.992313,53.428915
25.789452,55.976649
24.110278,52.730556
25.721613,55.990811
25.174666,56.330388
25.163564,56.09619
25.365847,55.856185
25.452828,56.16879
24.083333,55.683333
25.266667,55.316667
24.442901,54.355388
24.870768,55.549053
23.630726,53.729897
25.223877,56.202213
25.78102,55.978696
25.597686,56.276736
25.619547,56.272912
25.258172,55.304717
25.524217,56.35868
23.127315,53.754393
25.272255,56.183534
25.273069,55.306374
24.278385,52.623689
25.887843,56.058239
23.283333,53.2
23.139159,53.693403
25.665602,55.969045
23.077341,54.084222
25.684119,55.967495
24.957746,56.205983
25.331324,56.341993
25.734805,55.982845
25.354005,55.853315
25.414304,56.091233
25.14844,56.22242
24.884097,56.205284
25.766667,56.066667
23.119573,53.828551
22.9941,54.221835
25.28358,56.174102
25.006774,56.332905
25.07462,56.355447
25.294195,56.170094
25.124965,56.353807
25.565895,56.202173
26.048889,56.153333
26.042778,56.135
25.269944,56.314253
25.219662,56.207603
25.260889,56.354349
25.61564,56.004413
25.797674,55.980293
23.106423,53.995273
24.990387,56.216691
24.28473,55.763302
23.119039,53.928365
25.360429,56.347729
24.876638,56.173722
23.152008,53.82462
23.316096,54.067177
25.514168,56.071944
22.94082,54.310162
25.204822,55.246569
24.25,55.583333
25.789527,55.943196
23.156958,53.685414
25.331412,55.359006
25.038352,56.362578
25.801287,56.351111
25.965765,56.054708
25.452002,56.093755
23.162612,53.73617
25.62676,56.008144
25.392581,56.354636
25.810519,55.9647
25.339118,56.104939
25.283447,56.332801
25.2,56.05
25.540918,56.130664
24.951349,56.149968
25.329901,56.021884
26.035,56.148611
24.294566,53.330688
25.325405,56.133112
25.276233,56.362558
24.266272,55.741227
23.076461,54.013474
23.013531,54.154475
23.143549,53.788097
23.066667,53.533333
24.116667,55.8
25.361667,56.344722
24.07843,53.53842
25.301285,56.165306
25.145833,55.334167
25.270744,56.36242
25.268233,56.280016
23.103933,53.789186
24.786677,56.141429
25.23779,56.36128
25.860278,56.025
23.109707,53.727378
25.304259,56.370338
25.774612,55.970016
23.102624,53.711588
25.359789,56.044519
25.204083,55.287499
25.876579,56.018619
25.605489,56.304998
25.223647,55.388943
25.105516,56.356301
25.545635,56.058359
25.554814,56.345455
24.994167,56.025
23.3,53.85
23.129169,53.981808
25.966667,56.083333
25.936667,56.172222
26.027895,56.083518
25.470778,56.353193
25.1,56.033333
24.052778,55.719722
25.817799,56.010876
25.498176,56.057156
25.221646,56.323896
24.803878,56.194487
25.600825,56.284401
25.412279,56.170748
25.556755,56.076472
25.247638,56.077192
23.11656,53.606972
23.110884,54.015715
25.245013,56.342062
25.303319,56.027919
25.016249,55.455331
25.56473,55.555166
25.150151,55.205866
23.1,53.716667
25.57046,56.135356
24.908972,56.303165
23.047399,54.133321
23.157861,53.777623
25.415171,56.154957
25.404867,56.359707
33.051945,68.65
32.669487,62.16116
32.243587,64.684706
36.67363,69.078194
34.234973,67.191593
33.635262,64.740147
34.744167,70.287778
33.281975,64.648072
35.474953,69.871144
35.11979,61.48511
33.333,67.643278
34.248889,68.608333
32.813402,65.968042
32.503976,69.209795
31.975853,67.59182
34.331309,67.640744
33.384995,67.494621
31.916738,67.742247
31.719049,64.600709
34.869305,63.274235
34.725401,67.736154
38.290565,70.825527
32.983333,67.966667
34.490278,68.288611
35.57803,65.101776
34.651024,66.254311
31.791857,64.566416
32.782497,67.800529
32.469231,69.20712
32.831993,69.12336
32.831389,69.260556
32.671879,69.134674
36.933547,69.945244
33.482286,64.310608
33.087925,67.437293
32.610327,65.787477
33.894167,69.235833
35.436878,61.385679
36.883236,70.160088
33.818235,65.880785
34.151541,63.419489
34.106897,64.167882
32.233968,68.244853
34.874713,66.543614
34.872136,66.537888
31.807746,66.487208
35.718889,64.549722
32.669491,62.439251
35.247261,69.61557
33.314313,67.198147
36.033889,66.121944
34.052914,62.932137
36.656653,68.37054
33.666252,68.009567
34.396667,67.896111
36.288461,66.853894
35.767752,66.56335
38.101827,70.465519
34.71122,69.319626
35.396155,61.358598
33.857778,68.741944
34.315,68.868889
34.789557,68.666977
33.753691,65.848019
34.420833,67.989444
36.62146,71.18717
32.774997,67.033884
34.452759,70.473251
35.029463,69.232191
33.595593,63.511616
34.33471,62.251116
35.654722,64.606667
31.688852,64.303841
36.753628,69.456436
35.083736,63.171617
31.842262,65.854792
35.074092,63.151696
31.328913,64.280443
31.229677,64.206403
31.147252,62.090684
31.684185,64.362512
32.096052,65.862002
31.893301,66.406361
31.478582,67.022386
31.1093,61.8654
30.725309,64.096422
34.740049,62.245381
31.096111,66.621111
31.192113,62.153969
33.2975,68.280278
33.254221,69.859195
35.25676,63.486725
31.932216,66.654759
37.474451,69.695674
33.244444,68.828611
31.586955,67.406218
32.657056,66.174864
34.699937,62.53514
35.128038,69.056555
35.087589,63.258904
34.950691,69.60923
34.512882,70.56469
31.538235,65.056081
34.952539,61.686812
31.109194,64.180116
32.707035,66.716107
32.87388,67.446952
32.076211,68.114209
31.307538,64.254677
31.297323,65.957371
32.626876,66.715098
34.78984,63.502623
34.984338,61.685437
31.163611,61.841944
31.509236,65.301923
32.864374,68.581479
32.84714,66.024019
31.570103,66.371671
31.716934,67.379937
32.859829,68.530987
31.843197,64.604501
31.156778,62.031975
35.929326,68.010447
33.775278,68.510833
32.207803,67.266664
32.448273,66.879584
31.424854,65.711438
33.291111,68.416667
31.562358,66.335726
33.911152,68.441101
31.087222,61.839167
31.029577,61.84403
30.936667,61.871111
31.588034,65.482707
32.35163,66.66577
33.377778,68.496944
31.514004,65.377164
31.801757,65.770248
31.219722,61.780556
31.231417,62.174012
32.104526,65.864672
31.17195,61.802653
32.668743,67.754669
33.324167,68.494722
32.70046,66.714944
34.446389,69.899722
34.240556,69.257222
32.687827,68.11817
34.226536,70.396255
34.398889,68.989444
32.066307,66.837295
32.177817,64.72527
32.077222,67.796058
35.137029,69.055332
32.086627,67.79654
32.209449,68.459416
30.935278,61.870556
31.331981,66.168351
31.802126,64.499738
32.64383,66.218202
34.50872,70.23127
31.702455,64.286933
30.913889,61.808056
31.115405,61.827303
32.513485,68.128166
35.811689,66.726775
35.433951,63.388675
33.274167,68.870278
31.100556,61.841667
33.917858,63.445736
32.657727,68.787241
33.379722,70.029444
31.089879,64.190278
32.399677,61.95784
32.22255,67.291418
32.056776,64.82331
31.682952,66.894399
34.63964,70.389549
32.375479,64.999315
31.320584,65.961138
30.958333,66.431667
31.091223,64.203433
31.067222,61.863333
32.404398,67.528582
32.072646,65.8734
34.307972,69.168801
31.133611,61.822222
33.749561,69.798149
33.905167,63.322945
34.359783,62.035133
33.848611,68.831111
33.851111,68.8725
35.770729,66.887394
34.651901,63.782801
35.859072,69.749211
34.739762,62.422353
34.916491,62.713598
34.902941,62.720077
36.398225,67.233915
35.896891,69.513482
35.107025,61.485607
33.907198,65.810363
35.015617,63.142089
32.678986,62.250358
35.087955,63.067796
36.434138,67.144053
35.088097,69.592163
31.56091,64.417838
34.966346,61.608348
36.832287,70.359301
36.941357,69.318092
33.325954,61.950386
36.482691,67.22071
37.146212,69.110291
36.995741,72.701707
36.984657,72.739567
37.495925,70.245193
38.00114,70.476161
34.538056,67.336389
34.662094,63.600279
35.018043,68.944122
35.292765,61.47165
35.729125,63.865742
35.737201,63.828829
31.531709,64.357326
33.344856,61.940113
33.34082,61.952602
34.182682,63.184956
34.348333,68.676667
31.973423,64.958419
33.367778,70.066944
33.965055,63.230377
33.107458,67.42729
34.884089,62.743961
35.861177,66.566967
35.503508,67.760549
34.809692,63.791515
35.831321,68.408076
35.498498,67.743265
33.59901,63.64843
37.059722,66.043333
35.881548,68.996556
34.046389,66.776389
37.052763,66.039072
35.051449,63.296646
34.163307,62.815782
33.84256,63.370991
33.343529,63.764701
34.957833,61.538723
33.866111,68.622222
34.245,66.9125
31.622468,67.229071
34.231708,65.368752
34.25954,66.071641
34.365833,68.839722
34.568897,70.893082
31.576645,66.569307
30.137784,66.004349
34.965917,67.864993
34.193889,66.873889
35.56448,65.063736
33.78,68.118611
33.349324,64.656549
34.009798,65.333844
34.453136,66.181015
34.206884,69.251535
34.296991,68.246525
33.078611,66.788889
34.223833,69.232812
35.754651,66.63618
34.060615,66.196751
34.274444,68.125833
34.755271,63.6881
34.876296,67.266968
35.145636,71.360738
33.275414,69.799514
34.275498,67.165588
34.394913,66.681763
34.256717,64.046343
33.632352,66.69097
36.402147,69.365776
35.699837,66.879634
34.587536,66.359566
35.244798,64.034625
34.268475,63.215057
33.913889,66.632222
32.879436,68.134773
34.406403,65.433929
33.126482,67.340195
36.389126,69.352253
37.355427,69.935242
34.561685,64.081524
35.193646,63.024792
36.0644,68.959595
36.786797,69.372971
34.468571,69.113622
34.135914,63.736576
34.132763,63.745728
33.045787,62.182269
34.192226,63.414211
37.153266,70.515417
34.194649,63.625729
32.505119,62.061405
33.470033,65.579953
33.560873,64.321305
34.471375,66.972733
34.388333,67.216111
33.63542,65.564257
32.021877,65.043119
32.311524,67.608538
34.887596,63.06804
37.540566,70.53904
36.955093,69.552376
34.395653,66.232903
35.1441,71.396418
34.319167,68.700833
35.494224,63.378051
31.904186,65.760149
34.847382,71.05127
35.046871,70.987236
35.444736,69.69915
34.088611,66.823333
33.697418,66.644885
34.286111,66.931944
35.09737,70.701134
33.138084,69.505437
32.473539,67.190396
35.817239,64.191139
34.748108,70.117661
31.546707,65.298528
35.151773,63.058812
34.168415,66.508154
36.113886,66.975761
33.319438,69.834894
34.082481,70.668152
33.057654,67.982138
33.570698,68.75634
34.362225,70.472771
34.263641,70.216515
33.778333,68.853333
32.592674,68.099548
32.586193,65.351614
34.713782,69.814734
33.550681,68.795516
31.890002,67.857235
32.806814,69.287611
35.258053,63.568832
32.220991,66.164473
33.700556,68.203056
34.425622,70.307528
34.072222,68.522778
32.748705,66.97957
32.958703,68.647607
36.11052,67.304588
35.202559,71.051513
31.485326,65.528894
33.494196,65.226071
30.749574,61.829576
34.968918,70.966709
32.688598,68.643907
33.111368,66.725589
34.781389,68.565556
32.353235,66.360193
33.448372,69.067467
35.141859,71.331354
34.407338,70.861054
33.004759,69.408621
30.7556,61.8245
36.3775,66.185556
32.392075,65.208693
